2025-07-30 11:38:52 - INFO - app - 📌 기준 시점: 2024-05-08 22:55:00
2025-07-30 11:38:52 - INFO - app - 📆 총 3개 날짜, 36개 시점 생성 완료
2025-07-30 11:38:52 - INFO - app - ✅ Data load skip: 총 3개 파일 저장됨
2025-07-30 11:38:52 - INFO - app - ✅ 데이터 링크변환 skip: 20240508 ~ 20240501, 총 3개 파일 저장됨
2025-07-30 11:39:06 - WARNING - app - 링크 2333051902 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334273500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333226800 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333255900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333567604 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333050401 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333109600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334259600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330030201 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333310600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333879100 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334101700 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330027410 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333221300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334270900 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330044700 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330019302 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330023302 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330020908 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333073303 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333666700 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330022734 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333015000 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333166502 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333126000 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333221400 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333568601 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333121700 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333966700 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333969400 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333257000 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333167600 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333301800 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333965200 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333172500 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334277800 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333226201 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334242000 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334079300 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2334266200 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2333167800 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330025215 처리 중 오류: 'NoneType' object has no attribute 'loc'
2025-07-30 11:39:06 - WARNING - app - 링크 2330038501 처리 중 오류: 'NoneType' object has no attribute 'loc'
